Country,Category,Date,App ID,App name,Company,App icon,App URL,Release date,Updated date,In app purchases,Rating,Price,Global ratings,Country ratings,Current version ratings,iPhone downloads,iPad downloads,iPhone revenue,iPad revenue
US,All Categories,5/8/15,911793120,1010!,GramGames,https://s1.mzstatic.com/us/r30/Purple1/v4/c3/3a/25/c33a25f9-0784-4544-6f2a-5935ef6aa482/icon180x180.jpeg,https://itunes.apple.com/US/app/id911793120?mt=8&uo=4&partnerId=30,2014-09-25 07:12:11 UTC,2015-01-23 00:00:00 UTC,TRUE,4.5,0,46121,15161,12844,4649,734,$52.65 ,$14.96 
US,All Categories,5/8/15,456591673,10K Runner: 0 to 5K to 10K run training. Couch to 5K to 10K running,Clear Sky Apps LTD,https://s2.mzstatic.com/us/r30/Purple5/v4/e5/ed/10/e5ed107b-e9a7-e79a-5e52-8411057e5478/icon180x180.png,https://itunes.apple.com/US/app/id456591673?mt=8&uo=4&partnerId=30,2011-08-19 17:48:22 UTC,2014-12-05 00:00:00 UTC,,5,3.99,4406,2553,309,67,3,$147.16 ,$5.04 
US,All Categories,5/8/15,456591673,10K Runner: 0 to 5K to 10K run training. Couch to 5K to 10K running,Clear Sky Apps LTD,https://s2.mzstatic.com/us/r30/Purple5/v4/e5/ed/10/e5ed107b-e9a7-e79a-5e52-8411057e5478/icon180x180.png,https://itunes.apple.com/US/app/id456591673?mt=8&uo=4&partnerId=30,2011-08-19 17:48:22 UTC,2014-12-05 00:00:00 UTC,,5,3.99,4406,2553,309,67,3,$147.16 ,$5.04 
US,All Categories,5/8/15,295775656,12 Steps AA Companion - Alcoholics Anonymous,Dean Huff,https://s4.mzstatic.com/us/r30/Purple3/v4/f5/e2/38/f5e2389d-e248-3559-2b56-ef8f2de66737/icon180x180.png,https://itunes.apple.com/US/app/id295775656?mt=8&uo=4&partnerId=30,2008-11-14 00:23:19 UTC,2014-10-10 00:00:00 UTC,,4,2.99,1575,1575,20,116,3,$181.54 ,$9.12 
US,All Categories,5/8/15,691285427,120 Sports,120 Sports LLC,https://s3.mzstatic.com/us/r30/Purple5/v4/f8/59/1d/f8591d17-eb31-985e-e545-dacb331717fc/icon180x180.png,https://itunes.apple.com/US/app/id691285427?mt=8&uo=4&partnerId=30,2014-06-25 11:41:15 UTC,2015-03-12 00:00:00 UTC,,4.5,0,441,441,76,2501,415,,
US,All Categories,5/8/15,384363262,13:20:Sync,The RedHouse Apps,https://s2.mzstatic.com/us/r30/Purple2/v4/91/da/57/91da57f0-0f05-49a0-b0da-14e3c9099682/icon180x180.jpeg,https://itunes.apple.com/US/app/id384363262?mt=8&uo=4&partnerId=30,2010-08-03 03:44:04 UTC,2013-03-01 00:00:00 UTC,,5,1.99,231,117,61,2,,$4.39 ,
US,All Categories,5/8/15,326407535,"1500 Free Ringtones! - Music, Sound Effects, Funny alerts and caller ID tones",MobGen,https://s2.mzstatic.com/us/r30/Purple3/v4/9a/c0/89/9ac08938-7f8b-0ea1-26bd-a258364c23eb/icon180x180.jpeg,https://itunes.apple.com/US/app/id326407535?mt=8&uo=4&partnerId=30,2009-10-05 21:48:15 UTC,2015-01-12 00:00:00 UTC,TRUE,4.5,0,58046,18970,62,1126,46,,
US,All Categories,5/8/15,568903335,1Password - Password Manager and Secure Wallet,AgileBits Inc.,https://s1.mzstatic.com/us/r30/Purple5/v4/f6/e9/5a/f6e95a7f-5e05-4c30-1486-16a69f4bf3dd/icon180x180.png,https://itunes.apple.com/US/app/id568903335?mt=8&uo=4&partnerId=30,2012-12-13 08:00:00 UTC,2015-04-20 00:00:00 UTC,TRUE,5,0,34600,12745,213,2192,562,"$2,947.98 ",$155.44 
US,All Categories,5/8/15,568903335,1Password - Password Manager and Secure Wallet,AgileBits Inc.,https://s1.mzstatic.com/us/r30/Purple5/v4/f6/e9/5a/f6e95a7f-5e05-4c30-1486-16a69f4bf3dd/icon180x180.png,https://itunes.apple.com/US/app/id568903335?mt=8&uo=4&partnerId=30,2012-12-13 08:00:00 UTC,2015-04-20 00:00:00 UTC,TRUE,5,0,34600,12745,213,2192,562,"$2,947.98 ",$155.44 
US,All Categories,5/8/15,850089184,2-bit Cowboy,Crescent Moon Games,https://s5.mzstatic.com/us/r30/Purple4/v4/c2/40/ba/c240ba2e-c8ae-750e-e496-9fa13ed20316/icon180x180.jpeg,https://itunes.apple.com/US/app/id850089184?mt=8&uo=4&partnerId=30,2014-05-08 07:00:00 UTC,2014-07-04 00:00:00 UTC,TRUE,3.5,0,227,127,32,1073,291,,
US,All Categories,5/8/15,972100724,21 Day Companion - fix the way you track your progress,Cameron Roth,https://s5.mzstatic.com/us/r30/Purple3/v4/2e/62/da/2e62dae1-e67a-a97c-cc3e-f92cc41665e6/icon180x180.png,https://itunes.apple.com/US/app/id972100724?mt=8&uo=4&partnerId=30,2015-03-07 01:33:32 UTC,2015-04-10 00:00:00 UTC,,4.5,2.99,231,214,98,393,,$731.41 ,
US,All Categories,5/8/15,972100724,21 Day Companion - fix the way you track your progress,Cameron Roth,https://s5.mzstatic.com/us/r30/Purple3/v4/2e/62/da/2e62dae1-e67a-a97c-cc3e-f92cc41665e6/icon180x180.png,https://itunes.apple.com/US/app/id972100724?mt=8&uo=4&partnerId=30,2015-03-07 01:33:32 UTC,2015-04-10 00:00:00 UTC,,4.5,2.99,231,214,98,393,,$731.41 ,
US,All Categories,5/8/15,406854624,24 Game - Single Digits,Suntex International Inc,https://s1.mzstatic.com/us/r30/Purple/v4/80/fc/3c/80fc3cde-f31e-55d9-0387-047389bf47de/icon180x180.png,https://itunes.apple.com/US/app/id406854624?mt=8&uo=4&partnerId=30,2010-12-11 02:25:14 UTC,2012-04-05 00:00:00 UTC,,4,0.99,77,77,77,9,,$58.32 ,
US,All Categories,5/8/15,447312071,2nd Grade Splash Math Education Learning Workbook to practice basic arithmetic drills & word puzzles,"StudyPad, Inc.",https://s4.mzstatic.com/us/r30/Purple6/v4/dd/27/ec/dd27eca9-f5c8-53f3-8f34-470936fe4e80/icon180x180.jpeg,https://itunes.apple.com/US/app/id447312071?mt=8&uo=4&partnerId=30,2011-07-15 22:37:12 UTC,2014-10-20 00:00:00 UTC,,4.5,9.99,232,214,13,2,0,$7.79 ,
US,All Categories,5/8/15,645762493,3 Day Military Diet,Realized Mobile LLC,https://s5.mzstatic.com/us/r30/Purple/v4/e8/cf/9e/e8cf9ecd-dc48-12e6-a457-19ec0c8c56f4/icon180x180.png,https://itunes.apple.com/US/app/id645762493?mt=8&uo=4&partnerId=30,2013-06-12 00:56:17 UTC,2013-06-19 00:00:00 UTC,,4.5,1.99,13,13,12,10,1,$20.35 ,$1.60 
US,All Categories,5/8/15,318738366,3-IN-1 Bundle Pack #1! | AmbiScienceª ¥ Binaural & Isochronic Ambient Mind Utility,Tesla Audio Sciences,https://s2.mzstatic.com/us/r30/Purple/v4/ce/ad/10/cead1053-2ce4-6a54-3340-b18bf5708569/icon180x180.png,https://itunes.apple.com/US/app/id318738366?mt=8&uo=4&partnerId=30,2009-06-09 00:17:58 UTC,2011-05-10 00:00:00 UTC,,4,1.99,456,337,49,1,,$2.02 ,
US,All Categories,5/8/15,726162392,30 Day Fitness Challenges,Foamy Media Ltd.,https://s4.mzstatic.com/us/r30/Purple5/v4/de/41/0f/de410f74-06b5-c977-6921-c6fc5ed6e87a/icon180x180.jpeg,https://itunes.apple.com/US/app/id726162392?mt=8&uo=4&partnerId=30,2013-10-22 22:51:27 UTC,2015-04-28 00:00:00 UTC,TRUE,1.5,2.99,528,228,21,32,4,$78.54 ,$7.75 
US,All Categories,5/8/15,391274333,300+ Super Sound Box,Cookie Balloon LLC,https://s1.mzstatic.com/us/r30/Purple2/v4/04/ed/e5/04ede51f-94da-a6c7-7df0-94ccde3e367d/icon180x180.png,https://itunes.apple.com/US/app/id391274333?mt=8&uo=4&partnerId=30,2010-09-21 21:56:22 UTC,2013-06-02 00:00:00 UTC,,4.5,0.99,1259,963,317,26,2,$12.88 ,
US,All Categories,5/8/15,303601203,3500+ Random Fun Facts - Trivia from funny to bizarre for hours of entertainment,Matthew King,https://s3.mzstatic.com/us/r30/Purple1/v4/ef/31/78/ef31784e-17cd-a872-79db-5fa59c927f9c/icon180x180.png,https://itunes.apple.com/US/app/id303601203?mt=8&uo=4&partnerId=30,2009-01-31 18:05:54 UTC,2014-11-20 00:00:00 UTC,,5,0.99,1011,893,7,2,0,$3.86 ,
US,All Categories,5/8/15,740660941,"3D Animated Emoji PRO + Emoticons - SMS,MMS,WhatsApp Smileys Animoticons Stickers",Chen Shun,https://s2.mzstatic.com/us/r30/Purple4/v4/d8/a7/c0/d8a7c08a-ae21-7fbf-a2db-b690457fb716/icon180x180.png,https://itunes.apple.com/US/app/id740660941?mt=8&uo=4&partnerId=30,2013-11-16 03:05:43 UTC,2014-05-21 00:00:00 UTC,,4,0.99,229,100,72,30,0,$19.69 ,
US,All Categories,5/8/15,383790206,"3D Animations + Emoji for MMS Text Messaging with 500,000+ Animated Emoticons for iPhone and iPad","Dating DNA, Inc.",https://s2.mzstatic.com/us/r30/Purple4/v4/26/2c/92/262c92f4-1bb6-ad80-d3ec-deb20f5dade6/icon180x180.png,https://itunes.apple.com/US/app/id383790206?mt=8&uo=4&partnerId=30,2010-07-30 18:23:18 UTC,2014-08-26 00:00:00 UTC,TRUE,4.5,1.99,1978,1541,34,7,7,$61.39 ,$12.46 
US,All Categories,5/8/15,415347876,3D Audio Illusions,Yegor Trukhin,https://s1.mzstatic.com/us/r30/Purple/v4/20/3f/72/203f727c-d99e-1c1b-4e15-bf1ef847a422/icon180x180.png,https://itunes.apple.com/US/app/id415347876?mt=8&uo=4&partnerId=30,2011-01-23 06:46:33 UTC,2011-06-16 00:00:00 UTC,,4,1.99,3642,544,162,,,,
US,All Categories,5/8/15,431837446,3D MMO Celtic Heroes,One Thumb Mobile,https://s3.mzstatic.com/us/r30/Purple1/v4/c6/62/fa/c662fa23-a198-cea0-a73f-bff5d168968e/icon180x180.png,https://itunes.apple.com/US/app/id431837446?mt=8&uo=4&partnerId=30,2011-06-16 07:43:45 UTC,2015-04-14 00:00:00 UTC,TRUE,4.5,0,15403,7336,95,90,65,$131.06 ,$26.67 
US,All Categories,5/8/15,838791665,3D Police Drag Racing Driving Simulator Game: Race The Real Turbo Chase,Mountain Wizard Games,https://s2.mzstatic.com/us/r30/Purple4/v4/d6/fa/a9/d6faa922-21af-813a-887c-c0c15413e39d/icon180x180.jpeg,https://itunes.apple.com/US/app/id838791665?mt=8&uo=4&partnerId=30,2014-03-29 07:00:00 UTC,2014-09-12 00:00:00 UTC,TRUE,3.5,0,1942,655,279,223,292,$567.00 ,$152.46 
US,All Categories,5/8/15,818423232,3D Top Race-car Game - Awesome Racing & Driving Games For Kids Free,uTappz Mobile Development LLC,https://s5.mzstatic.com/us/r30/Purple4/v4/8f/96/41/8f9641ba-1db0-8e9f-2813-7d27ff2988c0/icon180x180.png,https://itunes.apple.com/US/app/id818423232?mt=8&uo=4&partnerId=30,2014-02-27 08:00:00 UTC,2014-02-27 00:00:00 UTC,TRUE,4.5,0,32,32,32,,3,$2.08 ,$2.61 
US,All Categories,5/8/15,595558452,4 Pics 1 Word,LOTUM GmbH,https://s3.mzstatic.com/us/r30/Purple1/v4/7a/2f/fe/7a2ffe79-47f8-921c-9248-f3bc8a2e2cbe/icon180x180.jpeg,https://itunes.apple.com/US/app/id595558452?mt=8&uo=4&partnerId=30,2013-02-04 20:29:17 UTC,2015-04-30 00:00:00 UTC,TRUE,4,0,142815,71869,34,1959,554,$603.73 ,$246.88 
US,All Categories,5/8/15,595558452,4 Pics 1 Word,LOTUM GmbH,https://s3.mzstatic.com/us/r30/Purple1/v4/7a/2f/fe/7a2ffe79-47f8-921c-9248-f3bc8a2e2cbe/icon180x180.jpeg,https://itunes.apple.com/US/app/id595558452?mt=8&uo=4&partnerId=30,2013-02-04 20:29:17 UTC,2015-04-30 00:00:00 UTC,TRUE,4,0,142815,71869,34,1959,554,$603.73 ,$246.88 
US,All Categories,5/8/15,444426162,4shared Mobile,New IT Solutions Ltd.,https://s4.mzstatic.com/us/r30/Purple3/v4/23/a9/1a/23a91add-865b-7f23-8cb7-298d6c9bf53d/icon180x180.png,https://itunes.apple.com/US/app/id444426162?mt=8&uo=4&partnerId=30,2011-06-23 18:22:32 UTC,2015-04-15 00:00:00 UTC,TRUE,3.5,0,22535,4267,29,1016,193,,
US,All Categories,5/8/15,510369875,4WarnMe,Local TV LLC,https://s3.mzstatic.com/us/r30/Purple1/v4/cb/5c/12/cb5c1259-95d9-b31c-54ba-4a8375e8e4d6/icon180x180.jpeg,https://itunes.apple.com/US/app/id510369875?mt=8&uo=4&partnerId=30,2012-03-28 16:15:53 UTC,2015-04-02 00:00:00 UTC,,2.5,0,154,154,5,2264,420,,
US,All Categories,5/8/15,822934482,5 Min Journal,Intelligent Change Inc.,https://s5.mzstatic.com/us/r30/Purple6/v4/ed/b3/03/edb30335-00d0-f422-a8d2-94c522713816/icon180x180.png,https://itunes.apple.com/US/app/id822934482?mt=8&uo=4&partnerId=30,2014-03-17 07:00:00 UTC,2014-05-17 00:00:00 UTC,,2.5,4.99,179,86,48,9,,$27.13 ,
US,All Categories,5/8/15,356336433,5-0 Radio Police Scanner,Smartest Apps LLC,https://s2.mzstatic.com/us/r30/Purple2/v4/44/3f/42/443f4264-a025-5fba-9326-632536e033c1/icon180x180.jpeg,https://itunes.apple.com/US/app/id356336433?mt=8&uo=4&partnerId=30,2010-02-18 23:26:35 UTC,2015-04-15 00:00:00 UTC,,4.5,0,191981,148523,443,3254,426,,
US,All Categories,5/8/15,341776037,5-0 Radio Pro Police Scanner (Extra Feeds),Smartest Apps LLC,https://s3.mzstatic.com/us/r30/Purple1/v4/ae/ec/ac/aeecacc6-e1cd-25dc-a398-cd2384fc1819/icon180x180.jpeg,https://itunes.apple.com/US/app/id341776037?mt=8&uo=4&partnerId=30,2009-12-04 10:42:37 UTC,2015-04-19 00:00:00 UTC,,4.5,3.99,27606,22532,220,94,12,$195.05 ,$32.56 
US,All Categories,5/8/15,341776037,5-0 Radio Pro Police Scanner (Extra Feeds),Smartest Apps LLC,https://s3.mzstatic.com/us/r30/Purple1/v4/ae/ec/ac/aeecacc6-e1cd-25dc-a398-cd2384fc1819/icon180x180.jpeg,https://itunes.apple.com/US/app/id341776037?mt=8&uo=4&partnerId=30,2009-12-04 10:42:37 UTC,2015-04-19 00:00:00 UTC,,4.5,3.99,27606,22532,220,94,12,$195.05 ,$32.56 
US,All Categories,5/8/15,695429656,5000 Followers Pro - Get more followers and likes for Insta.gram,Social Star,https://s2.mzstatic.com/us/r30/Purple1/v4/4e/11/f8/4e11f8e8-7be8-71b7-89d1-306d5b04a7f2/icon180x180.png,https://itunes.apple.com/US/app/id695429656?mt=8&uo=4&partnerId=30,2014-08-04 10:53:31 UTC,2015-04-23 00:00:00 UTC,TRUE,4.5,0,128349,54768,181,1456,,$849.78 ,$6.00 
US,All Categories,5/8/15,695429656,5000 Followers Pro - Get more followers and likes for Insta.gram,Social Star,https://s2.mzstatic.com/us/r30/Purple1/v4/4e/11/f8/4e11f8e8-7be8-71b7-89d1-306d5b04a7f2/icon180x180.png,https://itunes.apple.com/US/app/id695429656?mt=8&uo=4&partnerId=30,2014-08-04 10:53:31 UTC,2015-04-23 00:00:00 UTC,TRUE,4.5,0,128349,54768,181,1456,,$849.78 ,$6.00 
US,All Categories,5/8/15,695415794,5000 Likes Pro - Get likes and followers for Instagram app,Social Star,https://s5.mzstatic.com/us/r30/Purple3/v4/00/c5/50/00c550f2-1593-5f6b-ab15-dae6d9f4ca2f/icon180x180.jpeg,https://itunes.apple.com/US/app/id695415794?mt=8&uo=4&partnerId=30,2013-10-08 04:13:37 UTC,2015-03-20 00:00:00 UTC,TRUE,4,0,120028,50088,997,1878,229,$830.38 ,$43.51 
US,All Categories,5/8/15,695415794,5000 Likes Pro - Get likes and followers for Instagram app,Social Star,https://s5.mzstatic.com/us/r30/Purple3/v4/00/c5/50/00c550f2-1593-5f6b-ab15-dae6d9f4ca2f/icon180x180.jpeg,https://itunes.apple.com/US/app/id695415794?mt=8&uo=4&partnerId=30,2013-10-08 04:13:37 UTC,2015-03-20 00:00:00 UTC,TRUE,4,0,120028,50088,997,1878,229,$830.38 ,$43.51 
US,All Categories,5/8/15,895710383,5000+ Emoji New - 3D Animated Emoticons,Emoji_,https://s4.mzstatic.com/us/r30/Purple1/v4/d7/70/bf/d770bf54-b5d6-d1ba-32f6-bf06d0611f47/icon180x180.png,https://itunes.apple.com/US/app/id895710383?mt=8&uo=4&partnerId=30,2014-08-12 06:21:00 UTC,2015-04-20 00:00:00 UTC,,5,0,99139,51270,178,3663,366,,
US,All Categories,5/8/15,439852091,"5K Runner: 0 to 5K run training, Couch to 5K running, Pro",Clear Sky Apps LTD,https://s3.mzstatic.com/us/r30/Purple3/v4/f4/85/ab/f485ab68-eaec-d1b7-eb5c-8e3fd5c06de9/icon180x180.png,https://itunes.apple.com/US/app/id439852091?mt=8&uo=4&partnerId=30,2011-06-02 21:14:39 UTC,2014-12-05 00:00:00 UTC,,5,1.99,12943,8267,874,281,6,$333.65 ,$11.77 
US,All Categories,5/8/15,439852091,"5K Runner: 0 to 5K run training, Couch to 5K running, Pro",Clear Sky Apps LTD,https://s3.mzstatic.com/us/r30/Purple3/v4/f4/85/ab/f485ab68-eaec-d1b7-eb5c-8e3fd5c06de9/icon180x180.png,https://itunes.apple.com/US/app/id439852091?mt=8&uo=4&partnerId=30,2011-06-02 21:14:39 UTC,2014-12-05 00:00:00 UTC,,5,1.99,12943,8267,874,281,6,$333.65 ,$11.77 
US,All Categories,5/8/15,526458735,5K to 10K,"Active Network, LLC",https://s5.mzstatic.com/us/r30/Purple7/v4/82/65/22/8265221b-ec5c-e828-cd80-15b882143efb/icon180x180.jpeg,https://itunes.apple.com/US/app/id526458735?mt=8&uo=4&partnerId=30,2012-06-28 19:42:29 UTC,2015-04-30 00:00:00 UTC,,5,1.99,125,96,1,14,,$24.63 ,
US,All Categories,5/8/15,917554930,5miles Ð Your Mobile Marketplace,The Third Stone Holdings Limited,https://s4.mzstatic.com/us/r30/Purple3/v4/b5/0f/45/b50f450d-c0f5-4c2e-4cd8-282bddb67a2b/icon180x180.png,https://itunes.apple.com/US/app/id917554930?mt=8&uo=4&partnerId=30,2014-10-16 00:12:03 UTC,2015-03-20 00:00:00 UTC,,4,0,107,79,54,2545,,,
US,All Categories,5/8/15,518235205,645 PRO Mk III,Michael Hardaker,https://s5.mzstatic.com/us/r30/Purple1/v4/85/87/af/8587af07-47ed-ef71-965e-6c44e598a611/icon180x180.png,https://itunes.apple.com/US/app/id518235205?mt=8&uo=4&partnerId=30,2012-04-20 00:25:00 UTC,2015-02-19 00:00:00 UTC,,3.5,3.99,1312,446,16,115,6,$245.96 ,$9.63 
US,All Categories,5/8/15,518235205,645 PRO Mk III,Michael Hardaker,https://s5.mzstatic.com/us/r30/Purple1/v4/85/87/af/8587af07-47ed-ef71-965e-6c44e598a611/icon180x180.png,https://itunes.apple.com/US/app/id518235205?mt=8&uo=4&partnerId=30,2012-04-20 00:25:00 UTC,2015-02-19 00:00:00 UTC,,3.5,3.99,1312,446,16,115,6,$245.96 ,$9.63 
US,All Categories,5/8/15,352702744,69 Positions - Sex Positions of Kamasutra,Shovelmate,https://s3.mzstatic.com/us/r30/Purple/v4/b0/b3/cc/b0b3cc0d-cc5a-b89f-8819-e59c7141d544/icon180x180.png,https://itunes.apple.com/US/app/id352702744?mt=8&uo=4&partnerId=30,2010-02-05 18:15:49 UTC,2013-12-16 00:00:00 UTC,,5,0.99,13256,7984,48,30,,$16.98 ,
US,All Categories,5/8/15,431434152,7 Little Words,Blue Ox Technologies Ltd.,https://s1.mzstatic.com/us/r30/Purple5/v4/6a/f9/68/6af9685c-ceb4-d3cb-d629-52315dd00773/icon180x180.jpeg,https://itunes.apple.com/US/app/id431434152?mt=8&uo=4&partnerId=30,2011-05-06 00:46:32 UTC,2015-04-08 00:00:00 UTC,TRUE,5,0,69783,57097,234,487,295,$283.22 ,$227.13 
US,All Categories,5/8/15,650276551,7 Minute Workout ÒSevenÓ with High Intensity Interval Training Challenge,Perigee,https://s3.mzstatic.com/us/r30/Purple1/v4/59/e2/20/59e22042-612f-e5a1-333f-4a413357af3d/icon180x180.png,https://itunes.apple.com/US/app/id650276551?mt=8&uo=4&partnerId=30,2013-08-07 07:00:00 UTC,2015-04-24 00:00:00 UTC,TRUE,4.5,0,31774,3426,106,2861,256,$374.66 ,$25.11 
US,All Categories,5/8/15,650276551,7 Minute Workout ÒSevenÓ with High Intensity Interval Training Challenge,Perigee,https://s3.mzstatic.com/us/r30/Purple1/v4/59/e2/20/59e22042-612f-e5a1-333f-4a413357af3d/icon180x180.png,https://itunes.apple.com/US/app/id650276551?mt=8&uo=4&partnerId=30,2013-08-07 07:00:00 UTC,2015-04-24 00:00:00 UTC,TRUE,4.5,0,31774,3426,106,2861,256,$374.66 ,$25.11 
